c_cartkey,c_userkey
1,83
2,10
3,35
4,88
5,96
6,41
7,37
8,62
9,51
10,79
11,67
12,88
13,21
14,86
15,79
16,33
17,44
18,78
19,20
20,76
21,66
22,71
23,62
24,50
25,23
26,68
27,70
28,94
29,2
30,79
31,89
32,76
33,28
34,16
35,35
36,50
37,52
38,37
39,23
40,6
41,30
42,68
43,58
44,7
45,23
46,100
47,60
48,63
49,54
50,42
51,88
52,61
53,61
54,35
55,98
56,1
57,35
58,23
59,34
60,92
61,16
62,99
63,58
64,68
65,55
66,71
67,36
68,81
69,52
70,66
71,10
72,42
73,33
74,98
75,65
76,88
77,53
78,6
79,22
80,5
81,73
82,35
83,49
84,9
85,72
86,34
87,57
88,42
89,33
90,36
91,26
92,86
93,81
94,29
95,29
96,72
97,70
98,67
99,4
100,90
