l_linenumber,l_orderkey,l_productkey,l_sellerkey,l_quantity,l_originalprice,l_fulfillmentdate,l_discount,l_tax
1,1,8,30,2,101.8,2024-04-11,11.22,10.18
2,1,129,19,7,189.23,\N,68.16,18.92
3,1,195,5,7,53.12,\N,1.94,5.31
4,1,71,39,5,179.2,\N,7.66,17.92
5,1,52,32,6,41.53,\N,10.97,4.15
1,2,187,10,3,29.56,2024-02-18,1.05,2.96
2,2,9,28,10,172.74,2024-01-04,35.34,17.27
3,2,116,27,7,182.3,2024-01-07,53.64,18.23
4,2,179,8,6,188.65,2024-01-17,69.21,18.87
5,2,192,30,7,16.78,2024-04-04,2.91,1.68
1,3,83,3,8,44.04,\N,15.26,4.4
2,3,55,42,4,52.34,\N,7.88,5.23
3,3,106,41,6,125.98,\N,25.32,12.6
4,3,47,12,9,53.68,2024-01-07,22.88,5.37
5,3,157,47,1,139.03,\N,36.18,13.9
1,4,33,49,1,84.61,2023-11-13,17.88,8.46
2,4,54,16,10,34.59,\N,0.91,3.46
3,4,52,50,2,36.52,2024-01-19,3.05,3.65
4,4,83,3,6,65.59,\N,29.61,6.56
5,4,17,40,9,123.43,\N,33.31,12.34
1,5,9,32,4,148.12,\N,5.76,14.81
2,5,62,44,1,137.48,2023-10-28,68.24,13.75
3,5,3,33,5,188.03,2023-12-31,81.83,18.8
4,5,29,30,3,168.93,2023-11-19,53.59,16.89
5,5,10,16,7,190.19,\N,82.11,19.02
1,6,160,13,4,195.69,\N,27.71,19.57
2,6,47,35,2,115.93,\N,21.13,11.59
3,6,80,30,6,114.74,\N,6.31,11.47
4,6,136,15,3,131.66,2024-03-21,47.55,13.17
5,6,154,6,1,117.93,2024-04-20,39.17,11.79
1,7,199,22,1,86.28,\N,11.39,8.63
2,7,182,25,6,125.97,\N,57.09,12.6
3,7,129,19,9,42.32,2024-04-03,15.63,4.23
4,7,55,42,4,171.8,2024-04-22,42.81,17.18
5,7,82,47,5,37.14,2024-03-05,17.02,3.71
1,8,142,46,9,9.34,\N,2.32,0.93
2,8,3,18,9,81.12,\N,16.85,8.11
3,8,96,18,8,116.01,2024-01-12,49.42,11.6
4,8,27,8,8,185.55,\N,2.33,18.56
5,8,181,50,3,159.1,\N,26.26,15.91
1,9,65,49,9,82.74,\N,4.67,8.27
2,9,73,5,2,20.06,2023-12-27,4.63,2.01
3,9,52,32,7,197.93,\N,38.77,19.79
4,9,45,28,9,66.84,\N,30.05,6.68
5,9,172,48,8,10.22,2024-02-05,0.95,1.02
1,10,91,42,2,171.67,2024-04-08,56.65,17.17
2,10,48,10,8,153.87,2024-04-11,69.04,15.39
3,10,87,24,10,12.3,\N,3.56,1.23
4,10,60,47,8,88.86,\N,43.88,8.89
5,10,122,32,6,20.04,2024-04-21,1.03,2.0
1,11,91,42,10,75.19,\N,35.46,7.52
2,11,177,33,3,174.53,2024-02-21,66.75,17.45
3,11,145,1,3,185.46,\N,54.65,18.55
4,11,158,9,7,199.08,2024-03-29,2.63,19.91
5,11,47,11,3,158.88,2024-03-18,8.22,15.89
1,12,182,2,1,26.71,\N,4.32,2.67
2,12,161,42,4,176.01,2024-01-26,34.54,17.6
3,12,160,2,5,115.1,2024-03-09,46.01,11.51
4,12,87,24,4,33.84,2024-02-23,3.22,3.38
5,12,187,19,6,136.9,2024-02-07,45.07,13.69
1,13,17,9,10,133.48,2024-01-01,23.47,13.35
2,13,63,8,8,158.6,2023-09-22,67.82,15.86
3,13,61,49,5,36.4,\N,10.22,3.64
4,13,49,13,7,179.81,2024-04-18,29.76,17.98
5,13,20,41,7,180.56,\N,70.53,18.06
1,14,153,9,7,95.71,\N,45.18,9.57
2,14,167,38,3,188.36,\N,37.79,18.84
3,14,196,32,3,60.46,\N,27.57,6.05
4,14,119,15,10,183.99,\N,75.78,18.4
5,14,148,25,8,95.69,2023-11-05,22.02,9.57
1,15,96,46,4,122.51,\N,26.09,12.25
2,15,73,47,3,68.87,\N,27.08,6.89
3,15,26,42,3,79.9,2024-03-10,31.62,7.99
4,15,103,9,10,80.59,2023-08-30,37.57,8.06
5,15,130,46,5,37.57,\N,0.45,3.76
1,16,23,44,9,183.48,\N,4.47,18.35
2,16,68,21,5,107.38,\N,51.01,10.74
3,16,99,17,3,20.52,\N,2.86,2.05
4,16,66,37,6,170.68,2024-04-07,31.08,17.07
5,16,47,21,1,111.91,2024-02-14,26.05,11.19
1,17,177,33,3,21.87,\N,1.13,2.19
2,17,178,14,4,51.83,\N,13.24,5.18
3,17,52,50,3,60.14,2024-02-08,25.85,6.01
4,17,130,46,2,128.13,2024-04-22,0.11,12.81
5,17,131,12,2,14.99,2024-04-12,0.69,1.5
1,18,197,5,3,196.19,2024-02-29,42.67,19.62
2,18,122,32,9,33.9,2023-07-29,6.6,3.39
3,18,137,3,9,179.77,2023-06-24,80.56,17.98
4,18,168,46,2,6.83,2024-03-08,1.86,0.68
5,18,55,42,8,48.04,2023-12-02,11.4,4.8
1,19,100,33,3,92.37,2023-12-01,45.98,9.24
2,19,184,2,1,131.89,\N,15.64,13.19
3,19,80,30,3,87.78,2024-02-22,21.45,8.78
4,19,117,44,7,98.3,2024-02-19,19.72,9.83
5,19,44,34,2,125.13,\N,39.07,12.51
1,20,40,8,3,68.8,\N,2.52,6.88
2,20,168,22,3,108.96,2024-04-05,26.01,10.9
3,20,27,29,9,174.91,2023-12-19,12.75,17.49
4,20,180,47,10,168.42,\N,54.44,16.84
5,20,78,40,8,17.48,\N,0.61,1.75
1,21,189,10,10,13.14,2024-04-10,3.19,1.31
2,21,168,46,4,131.87,2024-04-20,34.65,13.19
3,21,136,15,2,158.48,2024-04-10,74.83,15.85
4,21,125,12,4,189.92,2024-04-20,41.55,18.99
5,21,190,31,7,161.38,2024-04-11,58.57,16.14
1,22,177,14,3,192.75,2023-11-17,21.06,19.28
2,22,168,27,1,51.83,2024-04-02,11.91,5.18
3,22,42,18,7,58.4,2023-11-19,8.79,5.84
4,22,102,25,4,117.85,\N,36.86,11.79
5,22,94,17,9,57.7,2023-08-04,22.97,5.77
1,23,98,27,6,72.17,2024-03-16,1.59,7.22
2,23,83,3,8,165.23,\N,28.34,16.52
3,23,26,30,2,36.8,\N,8.0,3.68
4,23,145,44,7,50.17,\N,1.92,5.02
5,23,116,20,8,132.13,\N,62.45,13.21
1,24,61,38,7,113.08,\N,12.46,11.31
2,24,128,40,5,36.53,\N,11.78,3.65
3,24,159,1,9,179.08,\N,35.62,17.91
4,24,101,25,2,87.15,2024-04-14,41.36,8.72
5,24,161,47,7,148.55,2023-11-16,69.51,14.86
1,25,52,32,10,83.66,2024-04-02,4.09,8.37
2,25,33,40,3,169.33,\N,59.05,16.93
3,25,136,15,6,138.15,\N,1.33,13.82
4,25,154,14,10,104.36,2024-03-28,48.82,10.44
5,25,160,33,8,115.53,2024-03-22,43.5,11.55
1,26,88,31,1,150.74,2023-10-29,33.08,15.07
2,26,29,19,8,182.19,2023-10-25,10.79,18.22
3,26,155,1,8,68.1,2024-04-22,30.75,6.81
4,26,187,19,8,144.1,2023-09-29,41.99,14.41
5,26,47,12,10,91.41,\N,1.81,9.14
1,27,62,13,6,138.15,\N,14.61,13.82
2,27,171,16,6,13.99,2024-03-12,5.56,1.4
3,27,47,36,6,177.32,2024-04-19,77.34,17.73
4,27,88,47,1,26.6,2024-04-07,0.06,2.66
5,27,90,19,7,24.4,\N,1.84,2.44
1,28,160,2,10,59.45,\N,7.29,5.95
2,28,94,2,2,62.84,2023-09-17,29.17,6.28
3,28,58,11,2,30.62,2023-10-13,14.71,3.06
4,28,26,22,2,127.38,2023-11-16,11.45,12.74
5,28,100,33,3,53.19,2024-03-10,10.92,5.32
1,29,102,25,2,134.24,2023-10-16,11.86,13.42
2,29,41,27,10,72.59,\N,9.99,7.26
3,29,59,6,6,170.34,\N,72.6,17.03
4,29,48,10,1,14.85,\N,3.16,1.49
5,29,64,22,9,110.43,2024-02-11,31.71,11.04
1,30,152,37,2,19.1,2024-04-10,4.76,1.91
2,30,98,27,4,144.18,\N,12.28,14.42
3,30,131,12,1,122.43,2024-04-09,9.07,12.24
4,30,73,5,6,54.59,\N,18.07,5.46
5,30,90,43,8,127.16,\N,46.58,12.72
1,31,54,47,7,65.67,2024-01-24,26.1,6.57
2,31,113,7,4,116.42,2024-03-10,32.18,11.64
3,31,27,17,10,139.58,2024-02-20,26.02,13.96
4,31,123,41,3,27.52,2024-02-10,0.53,2.75
5,31,148,25,7,81.32,\N,19.83,8.13
1,32,5,42,3,148.03,2024-03-31,41.48,14.8
2,32,113,7,6,84.31,\N,40.08,8.43
3,32,90,43,8,193.88,\N,48.16,19.39
4,32,144,26,6,57.5,\N,11.26,5.75
5,32,52,5,1,118.94,2024-03-26,10.51,11.89
1,33,130,44,10,156.05,2023-12-26,34.66,15.61
2,33,93,27,1,11.32,2024-02-14,1.97,1.13
3,33,179,8,6,50.79,\N,3.2,5.08
4,33,71,43,5,38.13,\N,18.62,3.81
5,33,122,15,10,164.35,\N,18.57,16.43
1,34,26,30,9,24.06,2024-02-02,4.09,2.41
2,34,101,27,3,15.74,\N,3.73,1.57
3,34,65,49,2,33.36,\N,10.59,3.34
4,34,120,39,4,60.96,2023-09-05,15.67,6.1
5,34,37,26,4,7.52,2023-07-03,1.66,0.75
1,35,197,5,4,23.97,\N,8.81,2.4
2,35,54,16,2,185.43,2024-03-28,55.58,18.54
3,35,62,45,9,44.81,\N,12.18,4.48
4,35,88,20,8,27.65,2023-09-26,3.48,2.77
5,35,195,5,2,28.99,2024-01-31,10.77,2.9
1,36,33,40,4,173.65,\N,49.47,17.37
2,36,92,19,7,183.13,2024-04-17,19.88,18.31
3,36,17,40,8,78.16,2023-11-14,38.81,7.82
4,36,141,10,1,149.07,2023-12-09,20.9,14.91
5,36,193,39,5,90.3,2024-03-02,17.46,9.03
1,37,126,24,5,61.2,2024-04-22,26.92,6.12
2,37,87,26,4,118.61,\N,3.74,11.86
3,37,125,12,6,52.53,2024-01-29,23.48,5.25
4,37,45,28,7,61.34,\N,16.84,6.13
5,37,42,33,2,29.95,2024-01-06,7.54,3.0
1,38,165,46,5,129.43,\N,35.69,12.94
2,38,161,42,6,28.08,2024-01-27,12.93,2.81
3,38,148,25,2,140.92,2024-02-02,62.16,14.09
4,38,181,9,7,41.29,\N,2.3,4.13
5,38,104,44,4,64.41,\N,13.94,6.44
1,39,157,47,7,127.8,\N,58.88,12.78
2,39,85,44,8,103.56,\N,18.68,10.36
3,39,53,5,7,164.83,2024-02-29,32.26,16.48
4,39,98,7,10,158.25,2024-04-18,14.85,15.83
5,39,123,41,10,149.09,2024-04-16,73.22,14.91
1,40,87,7,1,63.8,\N,27.8,6.38
2,40,4,25,8,22.09,\N,1.27,2.21
3,40,49,48,2,150.84,\N,61.75,15.08
4,40,151,5,4,119.63,\N,1.5,11.96
5,40,72,15,10,43.76,\N,15.05,4.38
1,41,100,33,6,132.27,2023-12-01,31.34,13.23
2,41,91,45,8,37.53,\N,0.1,3.75
3,41,179,50,6,85.67,2024-02-10,13.87,8.57
4,41,154,14,6,199.62,2023-10-13,25.91,19.96
5,41,73,44,3,76.96,2023-09-20,31.11,7.7
1,42,118,30,10,130.88,2024-03-02,64.3,13.09
2,42,192,49,8,66.51,2024-04-03,12.94,6.65
3,42,155,1,7,175.29,\N,78.11,17.53
4,42,36,29,8,85.95,\N,32.96,8.6
5,42,194,46,10,174.47,2024-02-09,34.67,17.45
1,43,66,3,10,177.76,2024-04-01,48.97,17.78
2,43,171,4,7,108.98,2024-04-15,22.24,10.9
3,43,103,45,6,77.59,2024-04-10,14.74,7.76
4,43,47,35,6,11.5,2024-02-23,0.84,1.15
5,43,164,37,3,121.8,\N,47.18,12.18
1,44,163,8,6,152.66,\N,9.06,15.27
2,44,59,3,2,62.68,2024-04-22,16.33,6.27
3,44,26,42,10,67.16,2024-04-05,9.14,6.72
4,44,151,10,2,92.75,2024-04-12,28.48,9.28
5,44,3,32,3,97.93,2024-03-12,1.3,9.79
1,45,187,19,7,91.05,2023-12-21,15.61,9.11
2,45,10,49,7,151.67,\N,39.22,15.17
3,45,107,29,10,126.79,\N,36.18,12.68
4,45,178,1,8,120.07,2024-02-07,51.11,12.01
5,45,112,6,2,142.38,\N,70.87,14.24
1,46,47,21,3,109.61,2023-12-29,31.91,10.96
2,46,197,5,4,75.3,\N,0.33,7.53
3,46,198,8,4,138.59,2024-02-08,25.03,13.86
4,46,81,4,6,109.38,\N,9.21,10.94
5,46,5,42,4,175.22,2024-04-18,21.95,17.52
1,47,101,16,8,133.22,\N,46.59,13.32
2,47,72,15,3,77.79,2024-04-05,15.13,7.78
3,47,85,6,7,191.65,2024-01-13,70.42,19.17
4,47,29,32,1,90.94,\N,27.64,9.09
5,47,55,34,3,58.49,\N,5.06,5.85
1,48,26,30,10,13.1,2023-12-22,3.36,1.31
2,48,117,26,2,97.28,\N,12.46,9.73
3,48,87,24,6,80.64,\N,29.07,8.06
4,48,83,46,6,151.05,2024-04-13,45.69,15.11
5,48,193,39,7,23.38,\N,4.09,2.34
1,49,6,5,10,136.69,2024-03-07,6.18,13.67
2,49,54,16,1,38.38,\N,4.01,3.84
3,49,143,12,5,184.81,2024-03-27,70.9,18.48
4,49,176,42,1,80.84,2024-04-21,24.44,8.08
5,49,89,49,10,119.35,\N,36.53,11.94
1,50,171,15,8,38.51,2024-02-05,12.33,3.85
2,50,26,22,6,187.51,\N,54.54,18.75
3,50,92,33,7,19.7,\N,6.17,1.97
4,50,179,24,3,5.5,\N,1.34,0.55
5,50,98,42,10,35.6,\N,16.86,3.56
1,51,99,17,5,145.47,\N,9.12,14.55
2,51,158,10,7,98.25,2023-10-23,48.81,9.83
3,51,95,12,6,144.17,2023-10-28,14.49,14.42
4,51,154,24,2,147.85,\N,19.27,14.79
5,51,154,6,1,189.45,2024-01-14,13.67,18.95
1,52,26,42,5,187.14,\N,77.24,18.71
2,52,17,12,4,5.36,2024-03-15,2.25,0.54
3,52,70,7,7,119.41,\N,26.43,11.94
4,52,131,12,1,138.1,2024-04-19,43.91,13.81
5,52,141,16,10,154.05,\N,11.73,15.41
1,53,158,9,7,126.26,2024-02-29,36.02,12.63
2,53,165,40,2,137.95,2024-02-26,3.46,13.79
3,53,181,50,3,180.42,2024-02-23,43.74,18.04
4,53,130,44,5,108.98,2024-03-06,43.78,10.9
5,53,55,22,7,195.73,2024-03-01,11.06,19.57
1,54,71,14,5,76.71,2024-03-06,29.74,7.67
2,54,61,40,10,35.33,\N,15.13,3.53
3,54,83,46,8,87.46,\N,41.26,8.75
4,54,26,22,2,77.42,\N,0.17,7.74
5,54,144,26,1,93.34,\N,15.08,9.33
1,55,68,21,9,70.76,2024-03-03,6.42,7.08
2,55,174,45,4,8.76,2024-04-07,2.59,0.88
3,55,77,28,5,76.57,\N,2.33,7.66
4,55,67,35,3,136.84,2024-02-07,7.71,13.68
5,55,103,11,5,186.27,2024-03-27,82.93,18.63
1,56,59,17,3,31.71,\N,15.8,3.17
2,56,92,13,4,68.9,2023-12-20,1.19,6.89
3,56,111,1,5,52.19,\N,18.17,5.22
4,56,41,38,1,101.74,\N,31.1,10.17
5,56,104,44,1,7.06,2024-01-11,3.33,0.71
1,57,36,29,5,91.29,\N,26.0,9.13
2,57,131,12,7,177.93,2023-12-07,16.79,17.79
3,57,85,49,10,133.55,2024-01-16,1.25,13.36
4,57,198,8,1,81.02,\N,14.13,8.1
5,57,190,31,4,121.98,2023-12-03,59.78,12.2
1,58,50,36,10,118.67,\N,57.36,11.87
2,58,43,5,1,160.22,2023-12-17,59.22,16.02
3,58,12,13,6,78.03,\N,36.08,7.8
4,58,54,46,5,142.65,2024-02-24,28.4,14.27
5,58,136,25,1,154.44,2024-02-07,9.49,15.44
1,59,126,25,8,119.1,2023-07-06,29.61,11.91
2,59,58,11,5,198.79,2023-10-15,50.62,19.88
3,59,73,40,1,92.96,2024-04-10,10.99,9.3
4,59,73,5,9,137.6,\N,61.37,13.76
5,59,52,7,1,15.96,\N,5.63,1.6
1,60,181,9,1,179.68,\N,65.82,17.97
2,60,36,29,10,26.32,\N,6.94,2.63
3,60,135,47,2,135.85,\N,13.36,13.59
4,60,91,14,5,31.14,2024-02-16,10.36,3.11
5,60,91,42,3,19.99,\N,2.72,2.0
1,61,88,47,4,135.1,2023-10-19,30.13,13.51
2,61,48,38,3,152.75,2024-04-03,53.33,15.28
3,61,184,2,1,158.32,\N,24.32,15.83
4,61,95,12,2,126.16,\N,48.8,12.62
5,61,94,42,7,53.58,\N,5.83,5.36
1,62,187,19,3,90.78,2024-04-18,18.29,9.08
2,62,102,2,6,19.98,\N,2.85,2.0
3,62,174,50,2,47.54,\N,11.97,4.75
4,62,173,19,9,48.82,2024-04-18,5.92,4.88
5,62,171,45,5,34.42,\N,0.7,3.44
1,63,141,28,4,195.34,\N,1.65,19.53
2,63,8,30,4,142.48,2023-12-06,67.95,14.25
3,63,172,17,2,166.19,\N,60.69,16.62
4,63,158,34,3,50.87,2024-02-11,2.82,5.09
5,63,84,25,5,64.63,2024-02-20,6.17,6.46
1,64,194,46,9,72.09,2024-01-21,7.69,7.21
2,64,23,44,3,115.08,2023-08-20,42.75,11.51
3,64,141,16,8,76.95,2024-03-30,11.62,7.7
4,64,178,16,1,129.22,2023-10-13,39.94,12.92
5,64,98,7,10,53.08,2023-10-11,2.47,5.31
1,65,77,20,10,84.73,2024-02-12,15.7,8.47
2,65,12,30,4,87.76,2024-01-31,43.68,8.78
3,65,57,31,6,166.1,2023-12-06,69.83,16.61
4,65,29,42,6,198.93,\N,42.82,19.89
5,65,136,25,2,126.25,2023-11-29,12.02,12.62
1,66,141,19,1,111.04,2024-04-21,28.42,11.1
2,66,116,27,2,163.94,2024-03-24,8.96,16.39
3,66,6,5,2,14.99,\N,0.24,1.5
4,66,181,19,3,105.23,2024-03-21,26.18,10.52
5,66,176,33,9,185.11,2024-04-22,15.82,18.51
1,67,103,11,9,195.73,\N,31.02,19.57
2,67,73,5,5,37.18,2024-01-10,11.35,3.72
3,67,151,5,1,29.57,2024-02-02,10.92,2.96
4,67,7,11,2,143.63,2023-11-28,4.97,14.36
5,67,48,10,10,113.99,\N,51.88,11.4
1,68,197,5,1,151.7,\N,28.76,15.17
2,68,64,22,6,107.19,\N,24.16,10.72
3,68,80,3,10,96.23,\N,6.68,9.62
4,68,1,50,2,119.7,2023-12-12,35.01,11.97
5,68,42,33,9,5.06,\N,1.09,0.51
1,69,168,35,9,53.91,\N,3.89,5.39
2,69,38,12,1,49.32,2024-02-23,6.62,4.93
3,69,71,14,5,64.18,\N,14.23,6.42
4,69,176,46,4,144.83,2024-04-19,6.37,14.48
5,69,26,48,7,61.61,2024-01-02,14.94,6.16
1,70,97,8,2,134.31,\N,38.81,13.43
2,70,116,20,1,149.5,\N,71.22,14.95
3,70,65,49,3,46.0,2024-01-04,7.46,4.6
4,70,45,37,10,46.84,2024-01-14,8.26,4.68
5,70,66,29,10,49.53,\N,6.54,4.95
1,71,140,10,1,75.43,2024-04-09,4.36,7.54
2,71,186,2,1,87.59,\N,7.79,8.76
3,71,151,10,9,129.85,2024-03-11,30.11,12.98
4,71,110,10,1,164.16,2024-02-28,50.34,16.42
5,71,91,42,4,41.68,2024-04-03,0.42,4.17
1,72,66,3,4,87.32,2024-04-13,4.28,8.73
2,72,16,4,6,65.26,2023-07-14,31.74,6.53
3,72,130,40,8,150.48,\N,38.42,15.05
4,72,46,29,8,118.39,2023-11-02,49.67,11.84
5,72,126,36,8,82.34,2023-11-30,18.31,8.23
1,73,77,20,7,96.36,2024-03-07,19.25,9.64
2,73,72,43,8,17.77,2024-01-23,3.99,1.78
3,73,37,26,9,37.64,2024-02-20,13.04,3.76
4,73,135,1,6,8.76,2024-02-21,4.0,0.88
5,73,47,36,4,151.17,\N,12.2,15.12
1,74,73,32,5,195.73,\N,65.4,19.57
2,74,168,38,2,22.16,2024-04-17,10.82,2.22
3,74,195,5,3,54.73,\N,7.04,5.47
4,74,11,32,9,78.16,\N,27.54,7.82
5,74,53,32,5,47.01,\N,18.99,4.7
1,75,93,15,6,24.41,\N,7.2,2.44
2,75,109,8,10,113.58,2024-01-19,3.0,11.36
3,75,163,8,9,14.99,2023-12-17,6.98,1.5
4,75,42,33,5,60.34,2023-12-10,2.48,6.03
5,75,23,48,3,94.77,2023-11-27,12.03,9.48
1,76,151,26,9,114.58,\N,52.81,11.46
2,76,1,50,1,123.11,\N,35.14,12.31
3,76,85,6,8,119.89,\N,26.03,11.99
4,76,67,35,4,190.39,\N,9.84,19.04
5,76,101,20,4,48.21,\N,7.85,4.82
1,77,50,14,2,69.75,2023-11-15,3.66,6.98
2,77,11,3,1,123.04,\N,23.79,12.3
3,77,134,5,5,127.76,2023-10-09,24.44,12.78
